concentration,bloc_correlation,bias_std,mean_expertise,panel_size,n_items,seed,n_trios,eie_error,mv_error,mean_abs_pair_corr
0.0,0.9,0.5,0.65,6,300,8,0,nan,nan,nan
0.0,0.9,0.5,0.65,6,300,9,0,nan,nan,nan
0.0,0.9,0.5,0.65,6,300,10,6,0.2157289012112152,0.23456938721966272,0.024190970645503615
0.0,0.9,0.5,0.65,6,300,11,5,0.2534357081906359,0.16079976248081163,0.05187381864557009
0.0,0.9,0.5,0.65,6,300,12,6,0.2515017608947712,0.16396580735960406,0.06770722277103193
0.0,0.9,0.5,0.65,6,300,13,0,nan,nan,nan
0.0,0.9,0.5,0.65,6,300,14,4,0.19618042407472314,0.11398307855207199,0.019808667727221185
0.0,0.9,0.5,0.65,6,300,15,6,0.173600895270702,0.20622823860696368,0.010306110159534393
0.0,0.9,0.5,0.65,6,300,16,1,0.3792321479015436,0.2714422508561708,0.006675568924650932
0.0,0.9,0.5,0.65,6,300,17,2,0.1821162586402691,0.19151106293079895,0.0432888888888889
0.0,0.9,0.5,0.65,6,300,18,6,0.13651274632340263,0.16829421946521927,0.013484252867265687
0.0,0.9,0.5,0.65,6,300,19,2,0.2686920214738559,0.19780183679507946,0.012909569549406065
0.0,0.9,0.5,0.65,6,300,20,1,0.2738191018363493,0.2529856173238526,0.04693672665724835
0.0,0.9,0.5,0.65,6,300,21,3,0.27009169808810624,0.1755727265905884,0.017191602799921605
0.0,0.9,0.5,0.65,6,300,22,1,0.08869793547472879,0.22687642091080118,0.015325410361136013
0.0,0.9,0.5,0.65,6,300,23,0,nan,nan,nan
0.0,0.9,0.5,0.75,6,300,0,2,0.2591314826067474,0.23537111156723217,0.04176392431972789
0.0,0.9,0.5,0.75,6,300,1,6,0.05966018709032056,0.06558255897159283,0.008276978497901233
0.0,0.9,0.5,0.75,6,300,2,5,0.1600829492390279,0.13957674778206694,0.04928550877483696
0.0,0.9,0.5,0.75,6,300,3,6,0.09665988185442446,0.10544578951227594,0.009253798414826944
0.0,0.9,0.5,0.75,6,300,4,6,0.14127680874930967,0.10987994503402586,0.010414439463514039
0.0,0.9,0.5,0.75,6,300,5,6,0.13149901906399877,0.13351760605200477,0.012857687394283281
0.0,0.9,0.5,0.75,6,300,6,5,0.07599959664641712,0.08735121062558052,0.012887839232844386
0.0,0.9,0.5,0.75,6,300,7,5,0.17805610179967699,0.13634434522129207,0.0031872194231722002
0.0,0.9,0.5,0.75,6,300,8,2,0.22980599786397413,0.07439364724266381,0.011195669273969732
0.0,0.9,0.5,0.75,6,300,9,6,0.16997987131840434,0.1492897569237501,0.011635321210131527
0.0,0.9,0.5,0.75,6,300,10,6,0.09723299014853648,0.15202481828607545,0.010987349269138082
0.0,0.9,0.5,0.75,6,300,11,6,0.09935656060378441,0.08051855748343906,0.036215341134294254
0.0,0.9,0.5,0.75,6,300,12,6,0.13391908192960508,0.10808105357873045,0.008681925201184269
0.0,0.9,0.5,0.75,6,300,13,5,0.11316891659074439,0.11673916985794541,0.014281303025175931
0.0,0.9,0.5,0.75,6,300,14,6,0.10623816878872318,0.08289347163344914,0.013854689936841089
0.0,0.9,0.5,0.75,6,300,15,6,0.12793302276635019,0.1201617546469833,0.0111016944079664
0.0,0.9,0.5,0.75,6,300,16,5,0.10899314884096174,0.15604301286267716,0.009398610112067616
0.0,0.9,0.5,0.75,6,300,17,4,0.1105458847956598,0.09037707249420437,0.008822222222222223
0.0,0.9,0.5,0.75,6,300,18,6,0.10087358633386634,0.10117299603360029,0.006421385327635327
0.0,0.9,0.5,0.75,6,300,19,5,0.15825032526982483,0.09636051110066553,0.01491853165894213
0.0,0.9,0.5,0.75,6,300,20,6,0.0776105319781125,0.08066672866178179,0.010000955481392002
0.0,0.9,0.5,0.75,6,300,21,6,0.11926162945642294,0.10826071179523923,0.013094419021790942
0.0,0.9,0.5,0.75,6,300,22,6,0.22937600295886698,0.13816303401257346,0.013502026301962665
0.0,0.9,0.5,0.75,6,300,23,1,0.03127061512573526,0.11426405568347284,0.012105157744926258
0.2,0.9,0.1,0.65,6,300,0,2,0.26830935712708825,0.1972334581344084,0.12976137329931972
0.2,0.9,0.1,0.65,6,300,1,6,0.2298984650333946,0.10110855308290585,0.013068137679641233
0.2,0.9,0.1,0.65,6,300,2,4,0.2808816526952478,0.2566169887143929,0.06608166042563435
0.2,0.9,0.1,0.65,6,300,3,5,0.20905624351312305,0.18103698252853043,0.15895628582186536
0.2,0.9,0.1,0.65,6,300,4,6,0.15617932159063022,0.13386984171583935,0.0167088514805273
0.2,0.9,0.1,0.65,6,300,5,1,0.26255959977205956,0.26538828891391797,0.14076474847696027
0.2,0.9,0.1,0.65,6,300,6,0,nan,nan,nan
0.2,0.9,0.1,0.65,6,300,7,6,0.17357077718250827,0.14703682406352706,0.0503736535815739
0.2,0.9,0.1,0.65,6,300,8,4,0.3293847236863247,0.2551337379827531,0.17780779245931808
0.2,0.9,0.1,0.65,6,300,9,6,0.28236119945076416,0.2043057090669509,0.16950074384532762
